,정상,사건,차이
영업이익률,0.02633912735012416,0.03007518796992481,0.003736060619800651
순이익률,0.03706988293721178,0.045112781954887216,0.008042899017675437
ROA,0.015342319971621143,0.02443609022556391,0.009093770253942765
총자산영업이익률,0.0013302589570769777,0.009398496240601503,0.008068237283524526
부채비율,0.0033256473926924443,0.009398496240601503,0.006072848847909059
자기자본비율,0.0035916991841078395,0.011278195488721804,0.007686496304613964
유동비율,0.0068730046115643845,0.007518796992481203,0.0006457923809168181
이자보상배율,0.18144732174529976,0.14097744360902256,-0.0404698781362772
총자산회전율,0.023323873714083006,0.02631578947368421,0.0029919157596012026
매출채권회전율,0.04354380986165307,0.045112781954887216,0.0015689720932341444
재고자산회전율,0.09050195104647038,0.14849624060150377,0.057994289555033385
영업현금흐름_매출,0.037202908832919476,0.03383458646616541,-0.0033683223667540646
영업현금흐름_부채,0.016273501241575027,0.011278195488721804,-0.004995305752853223
이익의현금전환,0.027713728272437035,0.02631578947368421,-0.0013979387987528256
자본잠식,0.02735899255054984,0.020676691729323307,-0.006682300821226533
완전자본잠식,0.003281305427456545,0.007518796992481203,0.004237491565024658
자본잠식률,0.02735899255054984,0.020676691729323307,-0.006682300821226533
영업손실,0.0008424973394820859,0.005639097744360902,0.004796600404878816
로그자산,0.0006207875133025896,0.005639097744360902,0.005018310231058312
Δ영업이익률,0.14690493082653422,0.09398496240601503,-0.05291996842051919
ΔROA,0.1367062788222774,0.08082706766917293,-0.05587921115310447
Δ부채비율,0.12158566867683576,0.06954887218045112,-0.05203679649638464
Δ유동비율,0.125,0.06578947368421052,-0.05921052631578948
Δ총자산회전율,0.14442178077332388,0.09210526315789473,-0.052316517615429145
Δ영업현금흐름_매출,0.15883291947499112,0.10526315789473684,-0.05356976158025428
매출증가율,0.14495388435615467,0.08646616541353383,-0.05848771894262084
자산증가율,0.11834870521461512,0.06015037593984962,-0.058198329274765495
2년연속영업손실,0.0,0.0,0.0
