유형,기업,FY,확률,실제,감사의견,계속기업언급,강조사항
미탐,인터로조,2022,0.0,1,적정,,
미탐,큐에이드,2022,0.0,1,적정,,해당사항 없음
미탐,제일바이오,2022,0.008,1,적정,,해당사항 없음
미탐,DH오토넥스,2022,0.0102,1,적정,○,1) 계속기업가정의 불확실성
미탐,위니아,2022,0.013,1,적정,○,"감사의견과 관련 없는 ""계속기업관련 중요한 불확실성"" 기재"
미탐,넥스쳐,2022,0.0135,1,비적정,,
미탐,대산F&B,2022,0.021,1,적정,,- 보고기간후사건( 2022년 9월 23일 이사회 결의에 따라 외식사업부문을 물적분할하기로 결정. 분할기일은…
미탐,코맥스,2022,0.0213,1,적정,,
오탐,유한코스메틱,2022,0.5298,0,비적정,○,1. 의견거절 근거  1) 계속기업 가정의 불확실성  2) 자산 및 부채의 평가의 불확실성   3) 기초재무…
오탐,비디아이,2022,0.5298,0,적정,,상장폐지사유 회생인가결정 최대주주변경 상장실질심사
오탐,한주에이알티,2022,0.4893,0,적정,,경영개선계획 이행 현황 및 COVID-19의 확산에 따른 부정적 영향 우려
오탐,현진소재,2022,0.4398,0,비적정,,감사범위 제한 등[주1]
오탐,큐라티스,2022,0.4253,0,적정,○,"-계속기업 관련 중요한 불확실성  재무제표 주석 33에서 기술하고 있는 바와 같이, 2022년 12월 31일…"
오탐,에코바이브,2022,0.3943,0,적정,,(연결) (1) 당기 감사보고서의 재발행 (2) 당기 연결재무제표 재작성 (3) 주권 매매거래 정지 및 상장…
오탐,휴스토리,2022,0.3811,0,적정,,
오탐,싸이토젠,2022,0.3787,0,적정,,해당사항 없음
정탐,한국비티비,2022,0.6242,1,적정,,당기 연결재무제표의 재작성 등
정탐,소리바다,2022,0.5298,1,비적정,,
정탐,제이웨이,2022,0.5298,1,비적정,○,계속기업가정에 대한 불확실성
정탐,푸른소나무,2022,0.5298,1,적정,,(*1)
